studentEmail,courseCode
mohit@student.com,CS-BSC-WD
yashvi@student.com,CS-BSC-WD
neha@student.com,CS-BSC-WD
sahaj@student.com,CS-BSC-WD
pratham@student.com,CS-BSC-WD
mohit@student.com,CS-BSC-ML
yashvi@student.com,CS-BSC-ML
neha@student.com,CS-BSC-ML
sahaj@student.com,CS-BSC-ML
pratham@student.com,CS-BSC-ML
mohit@student.com,CS-BSC-CCLAB
yashvi@student.com,CS-BSC-CCLAB
neha@student.com,CS-BSC-CCLAB
sahaj@student.com,CS-BSC-CCLAB
pratham@student.com,CS-BSC-CCLAB
mohit@student.com,CS-BSC-OS
yashvi@student.com,CS-BSC-OS
neha@student.com,CS-BSC-OS
sahaj@student.com,CS-BSC-OS
pratham@student.com,CS-BSC-OS
mohit@student.com,CS-BSC-CN
yashvi@student.com,CS-BSC-CN
neha@student.com,CS-BSC-CN
sahaj@student.com,CS-BSC-CN
pratham@student.com,CS-BSC-CN
